"location_name","location","indicator","year_week","value","source"
"Austria","AT","cases","2022-20",20282,"TESSy COVID-19"
"Austria","AT","cases","2022-21",15294,"TESSy COVID-19"
"Austria","AT","cases","2022-22",19505,"TESSy COVID-19"
"Austria","AT","cases","2022-23",25414,"TESSy COVID-19"
"Austria","AT","cases","2022-24",40803,"TESSy COVID-19"
"Austria","AT","cases","2022-25",60223,"TESSy COVID-19"
"Austria","AT","cases","2022-26",71280,"TESSy COVID-19"
"Austria","AT","cases","2022-27",73764,"TESSy COVID-19"
"Austria","AT","cases","2022-28",83410,"TESSy COVID-19"
"Austria","AT","cases","2022-29",79546,"TESSy COVID-19"
"Austria","AT","cases","2022-30",54660,"TESSy COVID-19"
"Austria","AT","cases","2022-31",42903,"TESSy COVID-19"
"Austria","AT","cases","2022-32",38602,"TESSy COVID-19"
"Austria","AT","cases","2022-33",37657,"TESSy COVID-19"
"Austria","AT","cases","2022-34",33704,"TESSy COVID-19"
"Austria","AT","cases","2022-35",29627,"TESSy COVID-19"
"Austria","AT","cases","2022-36",28960,"TESSy COVID-19"
"Austria","AT","cases","2022-37",36219,"TESSy COVID-19"
"Austria","AT","cases","2022-38",52258,"TESSy COVID-19"
"Austria","AT","cases","2022-39",83434,"TESSy COVID-19"
"Austria","AT","cases","2022-40",97846,"TESSy COVID-19"
"Austria","AT","cases","2022-41",86396,"TESSy COVID-19"
"Austria","AT","cases","2022-42",58624,"TESSy COVID-19"
"Austria","AT","cases","2022-43",37085,"TESSy COVID-19"
"Austria","AT","cases","2022-44",29394,"TESSy COVID-19"
"Austria","AT","cases","2022-45",24783,"TESSy COVID-19"
"Austria","AT","cases","2022-46",27034,"TESSy COVID-19"
"Austria","AT","cases","2022-47",30238,"TESSy COVID-19"
"Austria","AT","cases","2022-48",33270,"TESSy COVID-19"
"Austria","AT","cases","2022-49",33258,"TESSy COVID-19"
"Austria","AT","cases","2022-50",34730,"TESSy COVID-19"
"Austria","AT","cases","2022-51",32948,"TESSy COVID-19"
"Austria","AT","cases","2022-52",24803,"TESSy COVID-19"
"Austria","AT","cases","2023-01",18797,"TESSy COVID-19"
"Austria","AT","cases","2023-02",14951,"TESSy COVID-19"
"Austria","AT","cases","2023-03",13848,"TESSy COVID-19"
"Austria","AT","cases","2023-04",19928,"TESSy COVID-19"
"Austria","AT","cases","2023-05",26725,"TESSy COVID-19"
"Austria","AT","cases","2023-06",28849,"TESSy COVID-19"
"Austria","AT","cases","2023-07",34144,"TESSy COVID-19"
"Austria","AT","cases","2023-08",38954,"TESSy COVID-19"
