"location_name","location","indicator","value","source"
"Austria","AT","deaths",17,"TESSy COVID-19"
"Austria","AT","deaths",9,"TESSy COVID-19"
"Austria","AT","deaths",7,"TESSy COVID-19"
"Austria","AT","deaths",10,"TESSy COVID-19"
"Austria","AT","deaths",8,"TESSy COVID-19"
"Austria","AT","deaths",17,"TESSy COVID-19"
"Austria","AT","deaths",12,"TESSy COVID-19"
"Austria","AT","deaths",10,"TESSy COVID-19"
"Austria","AT","deaths",13,"TESSy COVID-19"
"Austria","AT","deaths",6,"TESSy COVID-19"
"Austria","AT","deaths",16,"TESSy COVID-19"
"Austria","AT","deaths",15,"TESSy COVID-19"
"Austria","AT","deaths",24,"TESSy COVID-19"
"Austria","AT","deaths",34,"TESSy COVID-19"
"Austria","AT","deaths",40,"TESSy COVID-19"
"Austria","AT","deaths",71,"TESSy COVID-19"
"Austria","AT","deaths",65,"TESSy COVID-19"
"Austria","AT","deaths",126,"TESSy COVID-19"
"Austria","AT","deaths",261,"TESSy COVID-19"
"Austria","AT","deaths",397,"TESSy COVID-19"
"Austria","AT","deaths",623,"TESSy COVID-19"
"Austria","AT","deaths",767,"TESSy COVID-19"
"Austria","AT","deaths",857,"TESSy COVID-19"
"Austria","AT","deaths",921,"TESSy COVID-19"
"Austria","AT","deaths",848,"TESSy COVID-19"
"Austria","AT","deaths",705,"TESSy COVID-19"
"Austria","AT","deaths",615,"TESSy COVID-19"
"Austria","AT","deaths",517,"TESSy COVID-19"
"Austria","AT","deaths",436,"TESSy COVID-19"
"Austria","AT","deaths",450,"TESSy COVID-19"
"Austria","AT","deaths",400,"TESSy COVID-19"
"Austria","AT","deaths",369,"TESSy COVID-19"
"Austria","AT","deaths",298,"TESSy COVID-19"
"Austria","AT","deaths",254,"TESSy COVID-19"
"Austria","AT","deaths",218,"TESSy COVID-19"
"Austria","AT","deaths",224,"TESSy COVID-19"
"Austria","AT","deaths",190,"TESSy COVID-19"
"Austria","AT","deaths",214,"TESSy COVID-19"
"Austria","AT","deaths",245,"TESSy COVID-19"
"Austria","AT","deaths",216,"TESSy COVID-19"
"Austria","AT","deaths",271,"TESSy COVID-19"
"Austria","AT","deaths",251,"TESSy COVID-19"
"Austria","AT","deaths",243,"TESSy COVID-19"
"Austria","AT","deaths",200,"TESSy COVID-19"
"Austria","AT","deaths",193,"TESSy COVID-19"
"Austria","AT","deaths",157,"TESSy COVID-19"
"Austria","AT","deaths",105,"TESSy COVID-19"
"Austria","AT","deaths",73,"TESSy COVID-19"
"Austria","AT","deaths",72,"TESSy COVID-19"
"Austria","AT","deaths",47,"TESSy COVID-19"
"Austria","AT","deaths",36,"TESSy COVID-19"
"Austria","AT","deaths",32,"TESSy COVID-19"
"Austria","AT","deaths",19,"TESSy COVID-19"
"Austria","AT","deaths",23,"TESSy COVID-19"
"Austria","AT","deaths",11,"TESSy COVID-19"
"Austria","AT","deaths",13,"TESSy COVID-19"
"Austria","AT","deaths",15,"TESSy COVID-19"
"Austria","AT","deaths",15,"TESSy COVID-19"
"Austria","AT","deaths",19,"TESSy COVID-19"
"Austria","AT","deaths",16,"TESSy COVID-19"
"Austria","AT","deaths",12,"TESSy COVID-19"
"Austria","AT","deaths",35,"TESSy COVID-19"
"Austria","AT","deaths",43,"TESSy COVID-19"
"Austria","AT","deaths",51,"TESSy COVID-19"
"Austria","AT","deaths",85,"TESSy COVID-19"
"Austria","AT","deaths",73,"TESSy COVID-19"
"Austria","AT","deaths",80,"TESSy COVID-19"
"Austria","AT","deaths",73,"TESSy COVID-19"
"Austria","AT","deaths",106,"TESSy COVID-19"
"Austria","AT","deaths",112,"TESSy COVID-19"
"Austria","AT","deaths",141,"TESSy COVID-19"
"Austria","AT","deaths",207,"TESSy COVID-19"
"Austria","AT","deaths",335,"TESSy COVID-19"
"Austria","AT","deaths",394,"TESSy COVID-19"
"Austria","AT","deaths",480,"TESSy COVID-19"
"Austria","AT","deaths",480,"TESSy COVID-19"
"Austria","AT","deaths",405,"TESSy COVID-19"
"Austria","AT","deaths",281,"TESSy COVID-19"
"Austria","AT","deaths",172,"TESSy COVID-19"
"Austria","AT","deaths",129,"TESSy COVID-19"
"Austria","AT","deaths",90,"TESSy COVID-19"
"Austria","AT","deaths",69,"TESSy COVID-19"
"Austria","AT","deaths",80,"TESSy COVID-19"
"Austria","AT","deaths",107,"TESSy COVID-19"
"Austria","AT","deaths",141,"TESSy COVID-19"
"Austria","AT","deaths",178,"TESSy COVID-19"
"Austria","AT","deaths",193,"TESSy COVID-19"
"Austria","AT","deaths",215,"TESSy COVID-19"
"Austria","AT","deaths",219,"TESSy COVID-19"
"Austria","AT","deaths",194,"TESSy COVID-19"
"Austria","AT","deaths",236,"TESSy COVID-19"
"Austria","AT","deaths",281,"TESSy COVID-19"
"Austria","AT","deaths",283,"TESSy COVID-19"
"Austria","AT","deaths",214,"TESSy COVID-19"
"Austria","AT","deaths",160,"TESSy COVID-19"
"Austria","AT","deaths",124,"TESSy COVID-19"
"Austria","AT","deaths",90,"TESSy COVID-19"
"Austria","AT","deaths",75,"TESSy COVID-19"
"Austria","AT","deaths",41,"TESSy COVID-19"
"Austria","AT","deaths",34,"TESSy COVID-19"
"Austria","AT","deaths",31,"TESSy COVID-19"
"Austria","AT","deaths",23,"TESSy COVID-19"
"Austria","AT","deaths",23,"TESSy COVID-19"
"Austria","AT","deaths",27,"TESSy COVID-19"
"Austria","AT","deaths",35,"TESSy COVID-19"
"Austria","AT","deaths",48,"TESSy COVID-19"
"Austria","AT","deaths",66,"TESSy COVID-19"
"Austria","AT","deaths",57,"TESSy COVID-19"
"Austria","AT","deaths",93,"TESSy COVID-19"
"Austria","AT","deaths",102,"TESSy COVID-19"
"Austria","AT","deaths",65,"TESSy COVID-19"
"Austria","AT","deaths",68,"TESSy COVID-19"
"Austria","AT","deaths",59,"TESSy COVID-19"
"Austria","AT","deaths",52,"TESSy COVID-19"
"Austria","AT","deaths",37,"TESSy COVID-19"
"Austria","AT","deaths",45,"TESSy COVID-19"
"Austria","AT","deaths",29,"TESSy COVID-19"
"Austria","AT","deaths",36,"TESSy COVID-19"
"Austria","AT","deaths",44,"TESSy COVID-19"
"Austria","AT","deaths",100,"TESSy COVID-19"
"Austria","AT","deaths",84,"TESSy COVID-19"
"Austria","AT","deaths",78,"TESSy COVID-19"
"Austria","AT","deaths",73,"TESSy COVID-19"
"Austria","AT","deaths",50,"TESSy COVID-19"
"Austria","AT","deaths",52,"TESSy COVID-19"
"Austria","AT","deaths",55,"TESSy COVID-19"
"Austria","AT","deaths",41,"TESSy COVID-19"
"Austria","AT","deaths",52,"TESSy COVID-19"
"Austria","AT","deaths",40,"TESSy COVID-19"
"Austria","AT","deaths",58,"TESSy COVID-19"
"Austria","AT","deaths",69,"TESSy COVID-19"
"Austria","AT","deaths",75,"TESSy COVID-19"
"Austria","AT","deaths",60,"TESSy COVID-19"
"Austria","AT","deaths",51,"TESSy COVID-19"
"Austria","AT","deaths",42,"TESSy COVID-19"
"Austria","AT","deaths",46,"TESSy COVID-19"
"Austria","AT","deaths",43,"TESSy COVID-19"
"Austria","AT","deaths",36,"TESSy COVID-19"
"Austria","AT","deaths",30,"TESSy COVID-19"
"Austria","AT","deaths",40,"TESSy COVID-19"
"Belgium","BE","cases",NA,"TESSy COVID-19"
"Belgium","BE","cases",NA,"TESSy COVID-19"
"Belgium","BE","cases",NA,"TESSy COVID-19"
"Belgium","BE","cases",NA,"TESSy COVID-19"
"Belgium","BE","cases",2,"TESSy COVID-19"
"Belgium","BE","cases",1,"TESSy COVID-19"
"Belgium","BE","cases",0,"TESSy COVID-19"
"Belgium","BE","cases",0,"TESSy COVID-19"
"Belgium","BE","cases",0,"TESSy COVID-19"
"Belgium","BE","cases",0,"TESSy COVID-19"
"Belgium","BE","cases",3678,"TESSy COVID-19"
"Belgium","BE","cases",3673,"TESSy COVID-19"
"Belgium","BE","cases",8130,"TESSy COVID-19"
"Belgium","BE","cases",9694,"TESSy COVID-19"
"Belgium","BE","cases",11175,"TESSy COVID-19"
"Belgium","BE","cases",7963,"TESSy COVID-19"
"Belgium","BE","cases",5703,"TESSy COVID-19"
"Belgium","BE","cases",3095,"TESSy COVID-19"
"Belgium","BE","cases",3051,"TESSy COVID-19"
"Belgium","BE","cases",2071,"TESSy COVID-19"
"Belgium","BE","cases",1510,"TESSy COVID-19"
"Belgium","BE","cases",1144,"TESSy COVID-19"
"Belgium","BE","cases",847,"TESSy COVID-19"
"Belgium","BE","cases",671,"TESSy COVID-19"
"Belgium","BE","cases",668,"TESSy COVID-19"
"Belgium","BE","cases",607,"TESSy COVID-19"
"Belgium","BE","cases",637,"TESSy COVID-19"
"Belgium","BE","cases",704,"TESSy COVID-19"
"Belgium","BE","cases",1385,"TESSy COVID-19"
"Belgium","BE","cases",2489,"TESSy COVID-19"
"Belgium","BE","cases",3759,"TESSy COVID-19"
"Belgium","BE","cases",4340,"TESSy COVID-19"
"Belgium","BE","cases",3751,"TESSy COVID-19"
"Belgium","BE","cases",3453,"TESSy COVID-19"
"Belgium","BE","cases",3121,"TESSy COVID-19"
"Belgium","BE","cases",3655,"TESSy COVID-19"
"Belgium","BE","cases",6158,"TESSy COVID-19"
"Belgium","BE","cases",10108,"TESSy COVID-19"
"Belgium","BE","cases",11274,"TESSy COVID-19"
"Belgium","BE","cases",18895,"TESSy COVID-19"
"Belgium","BE","cases",38852,"TESSy COVID-19"
"Belgium","BE","cases",72232,"TESSy COVID-19"
"Belgium","BE","cases",105383,"TESSy COVID-19"
"Belgium","BE","cases",99584,"TESSy COVID-19"
"Belgium","BE","cases",54006,"TESSy COVID-19"
"Belgium","BE","cases",33967,"TESSy COVID-19"
"Belgium","BE","cases",22312,"TESSy COVID-19"
"Belgium","BE","cases",16261,"TESSy COVID-19"
"Belgium","BE","cases",15289,"TESSy COVID-19"
"Belgium","BE","cases",16840,"TESSy COVID-19"
"Belgium","BE","cases",17714,"TESSy COVID-19"
"Belgium","BE","cases",12607,"TESSy COVID-19"
"Belgium","BE","cases",8976,"TESSy COVID-19"
"Belgium","BE","cases",13692,"TESSy COVID-19"
"Belgium","BE","cases",13093,"TESSy COVID-19"
"Belgium","BE","cases",14641,"TESSy COVID-19"
"Belgium","BE","cases",16375,"TESSy COVID-19"
"Belgium","BE","cases",14892,"TESSy COVID-19"
"Belgium","BE","cases",12527,"TESSy COVID-19"
"Belgium","BE","cases",15361,"TESSy COVID-19"
"Belgium","BE","cases",16648,"TESSy COVID-19"
"Belgium","BE","cases",16429,"TESSy COVID-19"
"Belgium","BE","cases",21255,"TESSy COVID-19"
"Belgium","BE","cases",29329,"TESSy COVID-19"
"Belgium","BE","cases",33998,"TESSy COVID-19"
"Belgium","BE","cases",29873,"TESSy COVID-19"
"Belgium","BE","cases",24193,"TESSy COVID-19"
"Belgium","BE","cases",24371,"TESSy COVID-19"
"Belgium","BE","cases",24423,"TESSy COVID-19"
"Belgium","BE","cases",20783,"TESSy COVID-19"
"Belgium","BE","cases",20975,"TESSy COVID-19"
"Belgium","BE","cases",14649,"TESSy COVID-19"
"Belgium","BE","cases",16999,"TESSy COVID-19"
"Belgium","BE","cases",12179,"TESSy COVID-19"
"Belgium","BE","cases",9065,"TESSy COVID-19"
"Belgium","BE","cases",5261,"TESSy COVID-19"
"Belgium","BE","cases",3006,"TESSy COVID-19"
"Belgium","BE","cases",2416,"TESSy COVID-19"
"Belgium","BE","cases",4070,"TESSy COVID-19"
"Belgium","BE","cases",7513,"TESSy COVID-19"
"Belgium","BE","cases",9541,"TESSy COVID-19"
"Belgium","BE","cases",10388,"TESSy COVID-19"
"Belgium","BE","cases",11283,"TESSy COVID-19"
"Belgium","BE","cases",12242,"TESSy COVID-19"
"Belgium","BE","cases",13352,"TESSy COVID-19"
"Belgium","BE","cases",13831,"TESSy COVID-19"
"Belgium","BE","cases",14116,"TESSy COVID-19"
"Belgium","BE","cases",13761,"TESSy COVID-19"
"Belgium","BE","cases",13760,"TESSy COVID-19"
"Belgium","BE","cases",14475,"TESSy COVID-19"
"Belgium","BE","cases",13647,"TESSy COVID-19"
"Belgium","BE","cases",13316,"TESSy COVID-19"
"Belgium","BE","cases",14922,"TESSy COVID-19"
"Belgium","BE","cases",22871,"TESSy COVID-19"
"Belgium","BE","cases",40000,"TESSy COVID-19"
"Belgium","BE","cases",54823,"TESSy COVID-19"
"Belgium","BE","cases",57829,"TESSy COVID-19"
"Belgium","BE","cases",73690,"TESSy COVID-19"
"Belgium","BE","cases",113029,"TESSy COVID-19"
"Belgium","BE","cases",125774,"TESSy COVID-19"
"Belgium","BE","cases",117316,"TESSy COVID-19"
"Belgium","BE","cases",88873,"TESSy COVID-19"
"Belgium","BE","cases",57114,"TESSy COVID-19"
"Belgium","BE","cases",45149,"TESSy COVID-19"
"Belgium","BE","cases",77857,"TESSy COVID-19"
"Belgium","BE","cases",155825,"TESSy COVID-19"
"Belgium","BE","cases",198814,"TESSy COVID-19"
"Belgium","BE","cases",351698,"TESSy COVID-19"
"Belgium","BE","cases",318852,"TESSy COVID-19"
"Belgium","BE","cases",185904,"TESSy COVID-19"
"Belgium","BE","cases",101740,"TESSy COVID-19"
"Belgium","BE","cases",63181,"TESSy COVID-19"
"Belgium","BE","cases",44836,"TESSy COVID-19"
"Belgium","BE","cases",44611,"TESSy COVID-19"
"Belgium","BE","cases",57255,"TESSy COVID-19"
"Belgium","BE","cases",71953,"TESSy COVID-19"
"Belgium","BE","cases",78607,"TESSy COVID-19"
"Belgium","BE","cases",71597,"TESSy COVID-19"
"Belgium","BE","cases",62839,"TESSy COVID-19"
"Belgium","BE","cases",52575,"TESSy COVID-19"
"Belgium","BE","cases",40215,"TESSy COVID-19"
"Belgium","BE","cases",32666,"TESSy COVID-19"
"Belgium","BE","cases",30760,"TESSy COVID-19"
"Belgium","BE","cases",24790,"TESSy COVID-19"
"Belgium","BE","cases",16120,"TESSy COVID-19"
"Belgium","BE","cases",9136,"TESSy COVID-19"
"Belgium","BE","cases",11383,"TESSy COVID-19"
"Belgium","BE","cases",13507,"TESSy COVID-19"
"Belgium","BE","cases",20104,"TESSy COVID-19"
"Belgium","BE","cases",28191,"TESSy COVID-19"
"Belgium","BE","cases",40430,"TESSy COVID-19"
"Belgium","BE","cases",54886,"TESSy COVID-19"
"Belgium","BE","cases",48062,"TESSy COVID-19"
"Belgium","BE","cases",29369,"TESSy COVID-19"
"Belgium","BE","cases",26917,"TESSy COVID-19"
"Belgium","BE","cases",19476,"TESSy COVID-19"
"Belgium","BE","cases",14945,"TESSy COVID-19"
"Belgium","BE","cases",11634,"TESSy COVID-19"
"Belgium","BE","cases",10688,"TESSy COVID-19"
"Belgium","BE","cases",10443,"TESSy COVID-19"
"Belgium","BE","cases",11339,"TESSy COVID-19"
"Belgium","BE","cases",13099,"TESSy COVID-19"
"Belgium","BE","cases",16166,"TESSy COVID-19"
"Belgium","BE","cases",20210,"TESSy COVID-19"
"Belgium","BE","cases",22101,"TESSy COVID-19"
"Belgium","BE","cases",18781,"TESSy COVID-19"
"Belgium","BE","cases",12814,"TESSy COVID-19"
"Belgium","BE","cases",7792,"TESSy COVID-19"
"Belgium","BE","cases",4576,"TESSy COVID-19"
"Belgium","BE","cases",4488,"TESSy COVID-19"
"Belgium","BE","cases",5289,"TESSy COVID-19"
"Belgium","BE","cases",6788,"TESSy COVID-19"
"Belgium","BE","cases",8229,"TESSy COVID-19"
"Belgium","BE","cases",9952,"TESSy COVID-19"
"Belgium","BE","cases",10100,"TESSy COVID-19"
"Belgium","BE","cases",9676,"TESSy COVID-19"
"Belgium","BE","cases",6078,"TESSy COVID-19"
"Belgium","BE","cases",4476,"TESSy COVID-19"
"Belgium","BE","cases",3005,"TESSy COVID-19"
"Belgium","BE","cases",2384,"TESSy COVID-19"
"Belgium","BE","cases",3346,"TESSy COVID-19"
"Belgium","BE","cases",4952,"TESSy COVID-19"
"Belgium","BE","cases",6413,"TESSy COVID-19"
"Belgium","BE","cases",8976,"TESSy COVID-19"
"Belgium","BE","cases",3532,"TESSy COVID-19"
"Belgium","BE","deaths",NA,"TESSy COVID-19"
"Belgium","BE","deaths",NA,"TESSy COVID-19"
"Belgium","BE","deaths",NA,"TESSy COVID-19"
"Belgium","BE","deaths",NA,"TESSy COVID-19"
"Belgium","BE","deaths",0,"TESSy COVID-19"
"Belgium","BE","deaths",0,"TESSy COVID-19"
"Belgium","BE","deaths",NA,"TESSy COVID-19"
"Belgium","BE","deaths",NA,"TESSy COVID-19"
"Belgium","BE","deaths",0,"TESSy COVID-19"
"Belgium","BE","deaths",0,"TESSy COVID-19"
"Belgium","BE","deaths",0,"TESSy COVID-19"
"Belgium","BE","deaths",195,"TESSy COVID-19"
"Belgium","BE","deaths",783,"TESSy COVID-19"
"Belgium","BE","deaths",1584,"TESSy COVID-19"
"Belgium","BE","deaths",1976,"TESSy COVID-19"
"Belgium","BE","deaths",1666,"TESSy COVID-19"
"Belgium","BE","deaths",1186,"TESSy COVID-19"
"Belgium","BE","deaths",696,"TESSy COVID-19"
"Belgium","BE","deaths",533,"TESSy COVID-19"
"Belgium","BE","deaths",312,"TESSy COVID-19"
"Belgium","BE","deaths",231,"TESSy COVID-19"
"Belgium","BE","deaths",161,"TESSy COVID-19"
"Belgium","BE","deaths",109,"TESSy COVID-19"
"Belgium","BE","deaths",57,"TESSy COVID-19"
"Belgium","BE","deaths",40,"TESSy COVID-19"
"Belgium","BE","deaths",40,"TESSy COVID-19"
"Belgium","BE","deaths",24,"TESSy COVID-19"
"Belgium","BE","deaths",11,"TESSy COVID-19"
"Belgium","BE","deaths",18,"TESSy COVID-19"
"Belgium","BE","deaths",14,"TESSy COVID-19"
"Belgium","BE","deaths",21,"TESSy COVID-19"
"Belgium","BE","deaths",33,"TESSy COVID-19"
"Belgium","BE","deaths",74,"TESSy COVID-19"
"Belgium","BE","deaths",41,"TESSy COVID-19"
